"id","name","short_description","parent_id","category","category_name","updated"
"_10minutemail","10 Minute Mail","Secure temporary private email",,"messaging","Messaging","2020-05-19T17:51:45.336Z"
"_126_mail","126 Mail","Email by NetEase",,"messaging","Messaging","2020-05-19T17:54:42.361Z"
"_163_analytics","NetEase Analytics","Service performance monitoring and analytics by NetEase",,"advertising","Advertising","2020-06-17T19:31:52.372Z"
"_163_mail","163 Mail","Email by NetEase",,"messaging","Messaging","2020-05-19T17:54:33.945Z"
"_17","17","Mobile app for photo and streaming/live video sharing",,"social","Social","2020-05-19T17:53:36.302Z"
"_1kxun","1kxun","Video streaming and sharing",,"video","Video","2020-05-19T17:54:08.044Z"
"_1und1","1 & 1 internet","Web hosting and internet service provider",,"cloud","Cloud","2020-05-15T17:34:25.943Z"
"_1und1_mail","1&1 E-Mail","Email by 1&1 Internet",,"messaging","Messaging","2020-05-19T17:54:23.101Z"
"_2048","2048","Strategy puzzle game",,"gaming","Gaming","2020-05-12T22:00:53.071Z"
"_20minutes","20 Minutes","Independent daily news",,"news","News","2020-05-12T22:02:50.401Z"
"_2gis","2GIS","Digital maps and city guides",,"navigation","Navigation","2020-05-12T22:03:23.514Z"
"_2go","2go","Mobile social network by 2go Interactive",,"social","Social","2020-05-12T22:03:59.013Z"
"_2k","2K","Video game publisher famous for games such as Borderlands series, Civilization series, NBA 2K series,  etc.",,"gaming","Gaming","2020-08-07T22:28:51.122Z"
"_2shared","2shared","File storage service for sharing music, video and photo files",,"file_transfer","File Transfer","2020-05-12T22:10:04.257Z"
"_33across","33Across","Programatic video and display ads",,"advertising","Advertising","2020-07-03T20:20:57.067Z"
"_365scores","365Scores","Live updated football scores",,"news","News","2020-05-12T22:07:48.959Z"
"_4chan","4chan","Anonymous imageboard online community",,"social","Social","2020-05-12T22:13:15.199Z"
"_4shared","4shared","File storage service for sharing music, video and photo files",,"file_transfer","File Transfer","2020-06-04T04:49:55.462Z"
"_5channel","5channel","Anonymous textboard online community",,"social","Social","2020-05-12T22:13:50.527Z"
"_5pmweb","5pm","Project and task management app",,"productivity","Productivity","2020-05-30T19:50:19.847Z"
"_8fit","8fit","Workouts and Meal Planner",,"health","Health & Fitness","2020-09-22T22:20:07.606Z"
"_8tracks","8tracks","Streaming music and internal radio service",,"audio","Audio","2020-06-24T00:22:12.723Z"
"_9gag","9GAG","Online community and social media service",,"social","Social","2020-05-12T22:18:06.949Z"
"_9ku","9Ku","Music streaming service",,"audio","Audio","2020-06-24T00:21:50.892Z"
"_9p","9P","Plan 9 filesystem protocol",,"networking","Networking","2020-05-12T23:11:23.750Z"
"aax","AcceptableAds Exchange","Unobtrusive ads designated by the independent Acceptable Ads Committee",,"advertising","Advertising","2020-06-25T21:51:37.965Z"
"abc","ABC","Commercial broadcast television network",,"video","Video","2020-05-12T23:12:08.561Z"
"abcmouse","ABCmouse","Subscription-based online education program ",,"education","Education","2020-06-12T23:06:50.954Z"
"abc_pirat","ABC pirate","Online language learning website",,"education","Education","2020-06-19T20:03:59.140Z"
"abcya","ABCya.com","Online educational games for school-aged children",,"education","Education","2020-07-03T22:16:13.054Z"
"abs_cbn","ABS-CBN","Entertainment and media services",,"news","News","2020-05-19T19:41:07.582Z"
"abs_cbn_news","ABS-CBN News","Daily news service",,"news","News","2020-05-12T23:13:45.353Z"
"abto_voip","ABTO VoIP","VoIP and SIP services",,"messaging","Messaging","2020-05-12T23:15:04.281Z"
"acap","ACAP","Application Configuration Access Protocol for storing and synching configuration and preferences",,"networking","Networking","2020-05-19T17:47:08.176Z"
"accuweather","AccuWeather","Worldwide weather forecasting service",,"news","News","2020-05-19T17:47:52.329Z"
"acestream","Ace Stream","Peer-to-peer multimedia streaming protocol using BitTorrent technology",,"video","Video","2020-05-19T17:48:27.462Z"
"acorn_tv","Acorn TV","Subscription based streaming service.",,"video","Video","2020-05-22T22:49:40.706Z"
"ac_rebellion","Assassin's Creed Rebellion","Mobile free-to-play strategy RPC action game",,"gaming","Gaming","2020-05-19T17:48:56.535Z"
"acrobat","Acrobat","Software and web services for creating, viewing, and printing PDF files",,"business","Business","2020-05-30T19:50:47.959Z"
"act","Act!","Customer relationship software",,"business","Business","2020-05-30T19:51:07.993Z"
"activecampaign","ActiveCampaign","Email marketing and sales customer relationship management service",,"business","Business","2020-05-30T19:51:26.249Z"
"active_directory","Microsoft Active Directory","Directory based identify related services",,"networking","Networking","2020-05-19T17:57:30.253Z"
"activesync","ActiveSync","Data synchronization service for syncing handheld devices and desktop computers",,"autonomous","Autonomous","2020-06-24T23:35:10.135Z"
"activision","Activision","Traffic related to Activision games",,"gaming","Gaming","2020-05-19T18:38:29.798Z"
"adbrain","Adbrain","Targeted advertising and identity pattern matching services",,"advertising","Advertising","2020-05-19T18:11:18.905Z"
"adcolony","AdColony","Mobile full-screen video advertising network",,"advertising","Advertising","2020-05-19T18:14:13.080Z"
"addicting_games","AddictingGames","Web based games",,"gaming","Gaming","2020-05-19T18:15:42.437Z"
"addictive_mobility","Addictive Mobility","Targeted advertising and analytics",,"advertising","Advertising","2020-05-19T18:20:17.688Z"
"addthis","AddThis","Social sharing website components",,"advertising","Advertising","2020-05-19T18:22:51.489Z"
"adform","Adform","Advertising content delivery and analytics",,"advertising","Advertising","2020-05-19T18:24:33.745Z"
"adgear","AdGear","Targeted advertising and analytics",,"advertising","Advertising","2020-05-19T18:25:01.148Z"
"adgoji","AdGoji","Advertising campaign management",,"advertising","Advertising","2020-05-19T18:25:57.703Z"
"adjust","Adjust","Mobile advertising campaign management",,"advertising","Advertising","2020-05-19T18:27:31.465Z"
"adobe","Adobe","Traffic related to Adobe applications",,"business","Business","2020-05-30T19:51:44.605Z"
"adobe_ads","Adobe Advertising Cloud","Advertising content delivery network",,"advertising","Advertising","2020-05-19T18:52:00.698Z"
"adobe_connect","Adobe Connect","Web presentation & conferencing, webinars, desktop sharing",,"business","Business","2020-06-17T23:23:22.594Z"
"adp","ADP","Human resources management software",,"business","Business","2020-05-30T19:52:18.726Z"
"adventure_academy","Adventure Academy","Massively Multiplayer online game with a focus on academic subjects",,"education","Education","2020-07-10T01:19:45.783Z"
"adyoulike","ADYOULIKE","Targeted advertising content delivery platform",,"advertising","Advertising","2020-05-19T18:57:05.795Z"
"aeria_games","Aeria Games","Game by Aeria Games",,"gaming","Gaming","2020-05-19T18:58:40.664Z"
"aeroadmin","AeroAdmin","Remote computer control software",,"remoting","Remoting","2020-05-19T18:59:15.134Z"
"affise","Affise","Advertising campaign management and analysis",,"advertising","Advertising","2020-05-19T19:04:06.610Z"
"afp","Apple Filing Protocol","Network file services protocol",,"file_transfer","File Transfer","2020-05-19T19:05:12.540Z"
"afreecatv","afreecaTV","Video streaming service",,"video","Video","2020-06-03T22:20:12.330Z"
"after_school","After School","Anonymous mobile social network",,"social","Social","2020-05-19T19:06:30.834Z"
"agentx","AgentX","SNMP management protocol",,"networking","Networking","2020-05-19T19:09:07.792Z"
"age_of_warring_empire","Age of Warring Empire","Mobile RPG adventure game",,"gaming","Gaming","2020-05-19T19:13:41.094Z"
"agora","Agora.io","Voice and video calling service",,"messaging","Messaging","2020-07-10T00:40:05.109Z"
"aim","AIM","Real time messaging protocol",,"messaging","Messaging","2020-05-19T19:15:35.914Z"
"airbnb","Airbnb","Short term lodging and homestay broker",,"shopping","Shopping","2020-06-03T22:25:21.695Z"
"airdroid","AirDroid","Device remote control and file transfer",,"remoting","Remoting","2020-05-19T19:21:13.528Z"
"airtime","Airtime","Instant video sharing and social network",,"social","Social","2020-05-22T05:45:46.025Z"
"airwatch","AirWatch","Mobile device management",,"productivity","Productivity","2020-05-30T19:53:42.621Z"
"ajillion","Ajillion","Mobile advertising network management",,"advertising","Advertising","2020-05-19T19:48:34.456Z"
"ajp","AJP","Apache JServ Protocol proxy protocol",,"networking","Networking","2020-05-19T21:38:31.037Z"
"akamai","Akamai CDN","Global content delivery network",,"cloud","Cloud","2020-06-01T00:09:13.172Z"
"akamai_media_analytics","Akamai Media Analytics","Online video analytics service",,"advertising","Advertising","2020-09-16T22:15:55.351Z"
"akamai_mpulse","Akamai mPulse","Application performance monitoring system",,"advertising","Advertising","2020-09-16T22:04:51.923Z"
"albiononline","Albion Online","Sandbox massive multiplayer online role playing game",,"gaming","Gaming","2020-06-04T16:16:57.462Z"
"alexa4business","Alexa for Business","Intelligent assistant for business",,"business","Business","2020-05-30T19:52:42.847Z"
"alexa_voice_service","Alexa Voice Service","Intelligent voice assistant",,"audio","Audio","2020-06-24T00:22:43.891Z"
"alibaba","Alibaba","Ecommerce services and shopping search engine",,"shopping","Shopping","2020-05-19T21:45:39.010Z"
"alibaba_cloud","Alibaba Cloud","Cloud computing services",,"cloud","Cloud","2020-06-01T00:09:28.698Z"
"alicall","Alicall","Voice over IP calling service",,"messaging","Messaging","2020-05-19T21:47:14.722Z"
"aliexpress","Aliexpress","Online shopping marketplace",,"shopping","Shopping","2020-05-20T05:29:12.722Z"
"alipay","Alipay","Electronic payment platform",,"shopping","Shopping","2020-05-19T21:48:37.994Z"
"alison","Alison","Online education and skills training",,"education","Education","2020-05-30T19:52:57.718Z"
"aliwangwang","AliWangWang","Instant messaging for shoppers and sellers",,"messaging","Messaging","2020-05-19T21:50:22.671Z"
"alltrails","AllTrails","Online outdoor trail map service",,"navigation","Navigation","2020-08-07T18:54:14.111Z"
"alot_com","ALOT","Consumer articles and infographics",,"news","News","2020-05-19T22:01:34.656Z"
"alpemix","Alpemix","Remote control, desktop sharing and file transfer software",,"remoting","Remoting","2020-05-19T22:02:10.818Z"
"amaze_vpn","Amaze VPN","Multi protocol Virtual Private Network.",,"remoting","Remoting","2020-05-25T23:47:09.168Z"
"amazon","Amazon","International ecommerce website",,"shopping","Shopping","2020-06-03T22:35:30.356Z"
"amazon_ads","Amazon Advertising","Targeting advertising service",,"advertising","Advertising","2020-05-19T22:07:41.478Z"
"amazon_alexa","Amazon Alexa","Virtual assistant by Amazon",,"audio","Audio","2020-06-24T00:23:04.673Z"
"amazon_api_gateway","Amazon API Gateway","Create, publish, monitor, and secure REST and WebSocket APIs",,"cloud","Cloud","2020-05-19T22:10:21.360Z"
"amazon_app_stream2","Amazon AppStream2.0","Application streaming service",,"remoting","Remoting","2020-05-19T22:10:55.232Z"
"amazon_athena","Amazon Athena","Analyze data in Amazon S3 using SQL",,"database","Database","2020-05-19T22:11:39.985Z"
"amazon_blockchain","Amazon Blockchain","Centralized ledger database",,"database","Database","2020-05-19T22:12:27.203Z"
"amazon_chime","Amazon Chime","Voice and video calling service",,"messaging","Messaging","2020-05-19T22:12:58.715Z"
"amazon_cloud_dir","Amazon Cloud Directory","Cloud hierarchical data storage",,"database","Database","2020-05-19T23:49:01.059Z"
"amazon_cloudfront","Amazon CloudFront","Content delivery network",,"cloud","Cloud","2020-06-01T00:09:47.753Z"
