orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10349,2004-12-01,2004-12-07,2004-12-03,Shipped,,151
10350,2004-12-02,2004-12-08,2004-12-05,Shipped,,141
10351,2004-12-03,2004-12-11,2004-12-07,Shipped,,324
10352,2004-12-03,2004-12-12,2004-12-09,Shipped,,198
10353,2004-12-04,2004-12-11,2004-12-05,Shipped,,447
10354,2004-12-04,2004-12-10,2004-12-05,Shipped,,323
10355,2004-12-07,2004-12-14,2004-12-13,Shipped,,141
10356,2004-12-09,2004-12-15,2004-12-12,Shipped,,250
10357,2004-12-10,2004-12-16,2004-12-14,Shipped,,124
10358,2004-12-10,2004-12-16,2004-12-16,Shipped,Customer requested that DHL is used for this shipping,141
10359,2004-12-15,2004-12-23,2004-12-18,Shipped,,353
10360,2004-12-16,2004-12-22,2004-12-18,Shipped,,496
10361,2004-12-17,2004-12-24,2004-12-20,Shipped,,282
10362,2005-01-05,2005-01-16,2005-01-10,Shipped,,161
10363,2005-01-06,2005-01-12,2005-01-10,Shipped,,334
10364,2005-01-06,2005-01-17,2005-01-09,Shipped,,350
10365,2005-01-07,2005-01-18,2005-01-11,Shipped,,320
10366,2005-01-10,2005-01-19,2005-01-12,Shipped,,381
10367,2005-01-12,2005-01-21,2005-01-16,Resolved,This order was disputed and resolved on 2/1/2005. Customer claimed that container with shipment was damaged. FedEx's investigation proved this wrong.,205
10368,2005-01-19,2005-01-27,2005-01-24,Shipped,Can we renegotiate this one?,124
10369,2005-01-20,2005-01-28,2005-01-24,Shipped,,379
10370,2005-01-20,2005-02-01,2005-01-25,Shipped,,276
10371,2005-01-23,2005-02-03,2005-01-25,Shipped,,124
10372,2005-01-26,2005-02-05,2005-01-28,Shipped,,398
10373,2005-01-31,2005-02-08,2005-02-06,Shipped,,311
10374,2005-02-02,2005-02-09,2005-02-03,Shipped,,333
10375,2005-02-03,2005-02-10,2005-02-06,Shipped,,119
10376,2005-02-08,2005-02-18,2005-02-13,Shipped,,219
